(112.125, -282, 0.125)
(916.897, -208.858, 0.125002)
(1707.84, -181.862, 0.125002)
(2505.48, -111.568, 0.125)
(2988.2, 73.4708, 0.125055)
(3675.55, 113.582, 0.125001)
(4064.16, 148.461, -383.875)
(4279.92, 544.61, -383.875)
(4234.97, 1184.56, -383.875)
(4168.36, 1658.01, -383.875)
(3488.31, 1490.33, -399.875)
(2710.96, 1588.74, -383.875)
(1941.38, 1623.39, -383.875)
(1195.75, 1582.16, -351.875)
(657.032, 1577.35, -49.1382)
(-188.547, 1598.23, -63.875)
(-1093.59, 1588.14, -63.875)
(-1782.52, 1524.55, -63.875)
(-2581.59, 1555.62, -63.875)
(-3192.45, 1636.96, -63.875)
(-3676.95, 1572.2, -63.875)
(-3924.45, 1594.67, -63.875)
