(3593.04, 4304.25, 5205.48)
(4264, 4169.83, 5202.12)
(4587.43, 4160.85, 5202.12)
(4981.44, 4267.88, 5202.12)
(6028.28, 3813.2, 5202.12)
(6232.38, 3214.76, 5200.12)
(6263.62, 3057.42, 5200.12)
(6263.62, 3435.92, 5200.12)
(7676.95, 4211.04, 5159.12)
(8822.69, 4147.01, 5159.12)
(9220.29, 5965.11, 5183.12)
(9230.25, 9200.18, 2460.62)
(9324.49, 10126.2, 5686.12)
(9266.18, 10306.1, 5485.61)
(9218.48, 10481, 5268.68)
(9201.5, 10442.2, 4998.16)
(9202.16, 10454.5, 4750.74)
(9206.5, 10458.4, 4490.5)
(8566.4, 11883, 3136.12)
