(472.966, 242.312, 16.125)
(479.16, 588.465, 16.125)
(561.86, 914.529, 16.125)
(569.646, 1303.87, 16.125)
(651.664, 1733.88, 16.125)
(1076.18, 1743.43, 16.125)
(1436.53, 1633.31, 16.125)
(1844.72, 1734.69, 16.125)
(2301.92, 1734.55, 16.125)
(2570.86, 1754.47, 16.125)
(2738.13, 2137.32, 16.125)
(2974, 2576.92, 16.125)
(3449.6, 2640.42, 16.125)
(4014.29, 2683.12, 24.125)
(4634.81, 2771.07, 16.125)
(4806.71, 3149.3, 32.125)
(4401.29, 3149.54, 128.125)
(4059.27, 3149.71, 128.125)
(3623.75, 3149.85, 32.125)
(3462.67, 3149.91, 32.125)
