(63.8393, -398.762, 36.125)
(63.8393, -51.1847, 36.125)
(106.533, 351.493, 36.125)
(-55.4949, 996.13, 36.125)
(40.4328, 1312.88, 160.898)
(32.2457, 1998.15, 196.125)
(274.905, 2491.85, 196.125)
(284.48, 3295.48, 196.125)
(376.875, 4235.13, 196.125)
(1064.93, 4275.75, 196.125)
(1430.85, 4289.39, 224.125)
(1646.86, 4289.88, 292.125)
(1902.6, 4095.13, 304.125)
(1875.33, 3128.08, 304.125)
(1943.97, 2356.82, 304.125)
(2432.44, 2082.87, 304.125)
(2839.71, 2124.16, 304.125)
(3207.74, 2134.04, 304.125)
(3698.92, 2217.02, 304.125)
(4975.69, 2137.91, 353.052)
(5653.84, 2257.39, 304.125)
(6082.59, 2029.29, 304.125)
(6211.38, 1504.41, 304.125)
(6132.88, 1167.67, 304.125)
(6097.59, 524.92, 304.125)
(6086.15, 216.283, 304.125)
(6116.82, -80.0582, 304.125)
(6138.1, -376.926, 304.125)
(6127.12, -681.77, 304.125)
(6086.07, -398.698, 304.125)
(6086.04, -680.963, 304.125)
(6116.7, -991.398, 304.125)
(5774.57, -1200.95, 304.125)
(5494.13, -1151.62, 306.125)
(4978.01, -1297.52, 306.125)
(5005.36, -1294.54, 306.125)
(4972.23, -961.06, 306.125)
(4797.69, -795.447, 300.784)
(4474.77, -896.407, 305.125)
(4001.88, -984.98, 304.125)
(3672.43, -1009.74, 504.125)
